ID;Label;REG;Entidad_ID;Nivel;Census-Level;year;START_;END_;Fecha_Dato;Nota;Dato-tipo;Fuente;Población;Blancos;Indios;Indefinidos;Mestizos;Castas;Blancos-rel;Indios-rel;Indefinidos-rel;Mestizos-rel;Castas-rel;Esclavos;Esclavos-rel;Vecinos-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indios-t-doc;Indefinidos-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiasticos-m-doc;Eclesiasticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indios-m-doc;Indios-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-sol-doc;Negros-f-cas-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Tributarios
13;Remedios;SDO;JUSDCVRE;Partido;20;1757;1754;1757;1757;;original;chc0347000085;2529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sancti Spiritus;SDO;JUSDCVSS;Partido;20;1757;1754;1757;1757;;original;chc0347000085;5492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Trinidad;SDO;JUSDCVTR;Partido;20;1757;1754;1757;1757;;original;chc0347000085;5840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Cuatro Villas;SDO;JUSDLHCV;Jurisdiccion;30;1757;1754;1757;1757;;suma-de-parciales;chc0347000085;18154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;La Habana;SDO;JUSDLHLH;Jurisdiccion;30;1757;1754;1757;1757;;suma-de-parciales;chc0347000085;89256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;San Felipe y Santiago;SDO;JUSDLHFS;Partido;20;1757;1754;1757;1757;;original;chc0347000085;1658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Santiago de las Vegas;SDO;JUSDLHSV;Partido;20;1757;1754;1757;1757;;original;chc0347000085;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Rosario;SDO;JUSDLHRO;Partido;20;1757;1754;1757;1757;;original;chc0347000085;1598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Guanabacoa;SDO;JUSDLHGU;Partido;20;1757;1754;1757;1757;;original;chc0347000085;6309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Matanzas;SDO;JUSDLHMA;Partido;20;1757;1754;1757;1757;;suma-de-parciales;chc0347000085;4431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;La Habana;SDO;JUSDLHLH;Partido;20;1757;1754;1757;1757;;suma-de-parciales;chc0347000085;73306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;La Habana;SDO;PRSDLH00;Provincia_menor;40;1757;1754;1757;1757;;suma-de-parciales;chc0347000085;107410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Isla de Cuba;SDO;PRSDIC00;Provincia_mayor;50;1757;1754;1757;1757;;suma-de-parciales;historia-general-espana;149046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Copiapo;CHL;JUCHSACP;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;2945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Melipilla;CHL;JUCHSAME;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;4251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Colchagua;CHL;JUCHSACO;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;60000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Maule;CHL;JUCHSAMA;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;26148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Chillan;CHL;JUCHCOCH;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;8295;7675;0;0;0;620;92,53;0,00;0,00;0,00;7,47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Itata;CHL;JUCHCOIT;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;4959;3991;968;0;0;0;80,48;19,52;0,00;0,00;0,00;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
